analyte, tR_T1_G1, tR_T1_G2, tR_T2_G1, tR_T2_G2, w_T1_G1, w_T1_G2, w_T2_G1, w_T2_G2, A_T1_G1, A_T1_G2, A_T2_G1, A_T2_G2, area
CBDV, 4.00, 5.73, 3.77, 5.23, 0.06, 0.11, 0.06, 0.10, 1.40, 1.32, 1.58, 1.50, 7.0,
CBDA, 4.82, 7.75, 4.55, 7.11, 0.06, 0.12, 0.06, 0.12, 1.25, 1.23, 1.15, 1.11, 3.0,
CBGA, 5.02, 8.39, 4.71, 7.64, 0.06, 0.12, 0.06, 0.12, 1.06, 1.05, 1.02, 1.00, 5.0,
CBG, 5.13, 8.63, 4.86, 7.95, 0.06, 0.14, 0.06, 0.13, 1.11, 1.10, 1.08, 1.06, 10.0,
CBD, 5.21, 8.65, 4.93, 8.01, 0.06, 0.12, 0.06, 0.12, 1.28, 1.19, 1.22, 1.20, 13.0,
THCV, 5.28, 8.49, 4.93, 7.64, 0.07, 0.13, 0.06, 0.12, 0.95, 0.98, 0.97, 1.00, 8.0,
CBN, 6.17, 10.99, 5.76, 9.96, 0.07, 0.14, 0.06, 0.14, 1.89, 1.92, 1.74, 1.78, 9.0,
delta9THC, 6.70, 12.32, 6.26, 11.19, 0.07, 0.15, 0.07, 0.15, 1.32, 1.30, 1.22, 1.19, 10.0,
delta8THC, 6.80, 12.60, 6.36, 11.47, 0.07, 0.15, 0.07, 0.15, 1.21, 1.20, 1.19, 1.17, 13.0,
CBC, 7.24, 13.97, 6.77, 12.72, 0.07, 0.15, 0.07, 0.15, 1.15, 1.12, 1.12, 1.10, 7.0,
THCA, 7.35, 14.11, 6.83, 12.72, 0.07, 0.16, 0.07, 0.15, 1.08, 1.06, 1.05, 1.03, 10.0,
